date,hour,source_as,target_as,emissions_length_SP,emissions_total_SP,emissions_path_SP,emissions_length_LE,emissions_total_LE,emissions_path_LE,emission_difference
2023-08-10,2,51024-RO-BC,1926-FI-18,5,671.42,51024-RO-BC -> 5606-RO- -> 1299-SE- -> 2603-DK- -> 1741-FI-18 -> 1926-FI-18,5,671.42,51024-RO-BC -> 5606-RO-B -> 1299-SE- -> 2603-DK- -> 1741-FI-18 -> 1926-FI-18,0.0
2023-08-10,2,208353-FR-PAC,204072-EE-37,5,310.1,208353-FR-PAC -> 3215-FR- -> 5511-FR- -> 1299-SE- -> 3249-EE-37 -> 204072-EE-37,5,310.1,208353-FR-PAC -> 3215-FR-IDF -> 5511-FR- -> 1299-SE- -> 3249-EE-37 -> 204072-EE-37,0.0
2023-08-10,2,33839-RO-CT,15629-HU-,5,1300.68,33839-RO-CT -> 5606-RO- -> 1299-SE- -> 3223-NL-NH -> 5483-HU-BU -> 15629-HU-,5,1300.68,33839-RO-CT -> 5606-RO-B -> 1299-SE- -> 3223-NL-NH -> 5483-HU-PE -> 15629-HU-,0.0
2023-08-10,2,210543-AT-,50988-PL-12,5,1702.46,210543-AT- -> 1853-AT-1 -> 1764-AT- -> 1299-SE- -> 5617-PL-02 -> 50988-PL-12,5,1702.46,210543-AT- -> 1853-AT-9 -> 1764-AT-9 -> 1299-SE- -> 5617-PL-14 -> 50988-PL-12,0.0
2023-08-10,2,207322-SE-AB,1303-FR-,5,98.88,207322-SE-AB -> 3301-SE-AB -> 1299-SE- -> 5511-FR- -> 2200-FR- -> 1303-FR-,5,98.88,207322-SE-AB -> 3301-SE-AB -> 1299-SE- -> 5511-FR- -> 2200-FR- -> 1303-FR-,0.0
2023-08-10,2,33867-LV-,28685-NL-GE,5,934.44,33867-LV- -> 5518-LV- -> 1299-SE- -> 5511-FR- -> 1136-NL-GE -> 28685-NL-GE,5,934.44,33867-LV- -> 5518-LV- -> 1299-SE- -> 5511-FR- -> 1136-NL-NH -> 28685-NL-GE,0.0
2023-08-10,2,204534-PL-06,205403-SI-012,5,2448.24,204534-PL-06 -> 5617-PL-02 -> 1299-SE- -> 3320-DE-BW -> 5603-SI-061 -> 205403-SI-012,5,2448.24,204534-PL-06 -> 5617-PL-14 -> 1299-SE- -> 3320-DE-NW -> 5603-SI-061 -> 205403-SI-012,0.0
2023-08-10,3,51024-RO-BC,1926-FI-18,5,671.05,51024-RO-BC -> 5606-RO- -> 1299-SE- -> 2603-DK- -> 1741-FI-18 -> 1926-FI-18,5,671.05,51024-RO-BC -> 5606-RO-B -> 1299-SE- -> 2603-DK- -> 1741-FI-18 -> 1926-FI-18,0.0
2023-08-10,3,208353-FR-PAC,204072-EE-37,5,329.25,208353-FR-PAC -> 3215-FR- -> 5511-FR- -> 1299-SE- -> 3249-EE-37 -> 204072-EE-37,5,329.25,208353-FR-PAC -> 3215-FR-IDF -> 5511-FR- -> 1299-SE- -> 3249-EE-37 -> 204072-EE-37,0.0
2023-08-10,3,33839-RO-CT,15629-HU-,5,1343.3799999999997,33839-RO-CT -> 5606-RO- -> 1299-SE- -> 3223-NL-NH -> 5483-HU-BU -> 15629-HU-,5,1343.3799999999997,33839-RO-CT -> 5606-RO-B -> 1299-SE- -> 3223-NL-NH -> 5483-HU-PE -> 15629-HU-,0.0
2023-08-10,3,210543-AT-,50988-PL-12,5,1730.87,210543-AT- -> 1853-AT-1 -> 1764-AT- -> 1299-SE- -> 5617-PL-02 -> 50988-PL-12,5,1730.87,210543-AT- -> 1853-AT-9 -> 1764-AT-9 -> 1299-SE- -> 5617-PL-14 -> 50988-PL-12,0.0
2023-08-10,3,207322-SE-AB,1303-FR-,5,96.03,207322-SE-AB -> 3301-SE-AB -> 1299-SE- -> 5511-FR- -> 2200-FR- -> 1303-FR-,5,96.03,207322-SE-AB -> 3301-SE-AB -> 1299-SE- -> 5511-FR- -> 2200-FR- -> 1303-FR-,0.0
2023-08-10,3,33867-LV-,28685-NL-GE,5,936.11,33867-LV- -> 5518-LV- -> 1299-SE- -> 5511-FR- -> 1136-NL-GE -> 28685-NL-GE,5,936.11,33867-LV- -> 5518-LV- -> 1299-SE- -> 5511-FR- -> 1136-NL-NH -> 28685-NL-GE,0.0
2023-08-10,3,204534-PL-06,205403-SI-012,5,2489.3,204534-PL-06 -> 5617-PL-02 -> 1299-SE- -> 3320-DE-BW -> 5603-SI-061 -> 205403-SI-012,5,2489.3,204534-PL-06 -> 5617-PL-14 -> 1299-SE- -> 3320-DE-NW -> 5603-SI-061 -> 205403-SI-012,0.0
2023-08-10,4,51024-RO-BC,1926-FI-18,5,659.6300000000001,51024-RO-BC -> 5606-RO- -> 1299-SE- -> 2603-DK- -> 1741-FI-18 -> 1926-FI-18,5,659.6300000000001,51024-RO-BC -> 5606-RO-B -> 1299-SE- -> 2603-DK- -> 1741-FI-18 -> 1926-FI-18,0.0
2023-08-10,4,208353-FR-PAC,204072-EE-37,5,344.13,208353-FR-PAC -> 3215-FR- -> 5511-FR- -> 1299-SE- -> 3249-EE-37 -> 204072-EE-37,5,344.13,208353-FR-PAC -> 3215-FR-IDF -> 5511-FR- -> 1299-SE- -> 3249-EE-37 -> 204072-EE-37,0.0
2023-08-10,4,33839-RO-CT,15629-HU-,5,1378.0500000000002,33839-RO-CT -> 5606-RO- -> 1299-SE- -> 3223-NL-NH -> 5483-HU-BU -> 15629-HU-,5,1378.0500000000002,33839-RO-CT -> 5606-RO-B -> 1299-SE- -> 3223-NL-NH -> 5483-HU-PE -> 15629-HU-,0.0
2023-08-10,4,210543-AT-,50988-PL-12,5,1750.16,210543-AT- -> 1853-AT-1 -> 1764-AT- -> 1299-SE- -> 5617-PL-02 -> 50988-PL-12,5,1750.16,210543-AT- -> 1853-AT-9 -> 1764-AT-9 -> 1299-SE- -> 5617-PL-14 -> 50988-PL-12,0.0
2023-08-10,4,207322-SE-AB,1303-FR-,5,102.87,207322-SE-AB -> 3301-SE-AB -> 1299-SE- -> 5511-FR- -> 2200-FR- -> 1303-FR-,5,102.87,207322-SE-AB -> 3301-SE-AB -> 1299-SE- -> 5511-FR- -> 2200-FR- -> 1303-FR-,0.0
2023-08-10,4,33867-LV-,28685-NL-GE,5,916.87,33867-LV- -> 5518-LV- -> 1299-SE- -> 5511-FR- -> 1136-NL-GE -> 28685-NL-GE,5,916.87,33867-LV- -> 5518-LV- -> 1299-SE- -> 5511-FR- -> 1136-NL-NH -> 28685-NL-GE,0.0
2023-08-10,4,204534-PL-06,205403-SI-012,5,2425.11,204534-PL-06 -> 5617-PL-02 -> 1299-SE- -> 3320-DE-BW -> 5603-SI-061 -> 205403-SI-012,5,2425.11,204534-PL-06 -> 5617-PL-14 -> 1299-SE- -> 3320-DE-NW -> 5603-SI-061 -> 205403-SI-012,0.0
2023-08-10,5,51024-RO-BC,1926-FI-18,5,667.0499999999998,51024-RO-BC -> 5606-RO- -> 1299-SE- -> 2603-DK- -> 1741-FI-18 -> 1926-FI-18,5,667.0499999999998,51024-RO-BC -> 5606-RO-B -> 1299-SE- -> 2603-DK- -> 1741-FI-18 -> 1926-FI-18,0.0
