source_as,target_as,path_length
53281-US-,3356-US-TX,1
3303-CH-ZH,55256-US-TX,1
2914-JP-,16504-US-TX,1
3356-US-,19586-US-FL,1
3292-DK-83,6805-DE-BE,1
10111-HK-,174-GB-ENG,1
3356-US-CA,766-ES-VC,1
395922-US-MA,3356-US-TX,1
3356-US-TX,31152-GB-,1
19197-RO-B,3356-US-TX,1
174-US-NY,209166-FR-,1
139563-IN-,4755-IN-DL,1
9304-HK-HCW,4229-US-CA,1
396253-US-NC,3356-US-CA,1
212021-SE-M,2119-NO-03,1
4230-BR-SP,18881-BR-MG,1
2519-JP-,174-GB-ENG,1
174-GB-ENG,48971-CH-,1
5617-PL-02,57966-PL-,1
1239-US-VA,55685-ID-,1
4755-IN-MH,34440-SG-,1
395702-US-MI,3356-US-,1
4766-KR-,17601-KR-27,1
3356-US-TX,398643-US-PA,1
3303-CH-ZH,136106-ID-,1
1836-CH-AG,9318-KR-11,1
22441-US-WA,209-US-OR,1
174-GB-ENG,4230-BR-MG,1
54268-US-NJ,701-US-NJ,1
174-US-NY,14793-US-NM,1
1257-SE-M,20940-FR-IDF,1
12703-GB-SCT,3356-US-TX,1
3215-FR-ARA,44000-FR-IDF,1
3303-CH-ZH,23856-SG-,1
5713-ZA-GP,35399-GB-,1
702-GB-,1321-US-NJ,1
20940-KR-11,4775-PH-,1
5413-GB-ENG,30844-ZM-09,1
174-GB-ENG,19148-US-AZ,1
30089-US-,209-US-OR,1
46450-US-VA,174-US-NY,1
202766-ES-CM,4230-BR-RJ,1
3269-IT-52,20972-IT-,1
174-US-CA,203596-FR-,1
3356-US-,27901-CL-RM,1
19253-US-AR,3356-US-CA,1
3303-CH-AG,137409-SG-,1
3257-US-NY,7979-US-,1
209-US-AZ,12086-US-,1
9299-PH-00,701-US-NY,1
701-US-NJ,11277-US-,1
328719-ZA-MP,174-US-CA,1
174-US-NY,46340-US-NV,1
201906-EE-37,3356-US-TX,2
8151-MX-CMX,200612-QA-DA,2
8151-MX-VER,48341-ES-,2
394558-US-NH,9605-JP-13,2
5650-US-TX,20414-US-VA,2
20284-US-,44034-SE-AB,2
205332-FR-IDF,7018-US-TX,2
30622-US-NV,4837-CN-,2
399589-US-,7922-US-MD,2
4766-KR-41,262186-CO-DC,2
10695-US-,4134-CN-GD,2
701-US-MD,400246-US-,2
397718-US-,701-US-NJ,2
5503-GB-,7018-US-FL,2
20940-US-TX,207222-IT-25,2
11172-MX-MEX,206002-FR-HDF,2
20940-JP-13,203544-FR-,2
22586-US-GA,20473-DE-HE,2
30471-US-,8103-US-,2
17676-JP-27,33662-US-,2
21808-US-,7922-US-PA,2
26018-US-IL,8075-IN-MH,2
7922-US-TX,135652-US-,2
16509-US-,49081-DE-NI,2
2516-JP-13,393922-US-,2
206182-IT-62,5089-GB-ENG,2
2907-JP-13,17035-US-CA,2
33134-US-CA,749-US-,2
203724-DE-,44034-SE-AB,2
20940-JP-13,206943-DE-HE,2
7922-US-CO,27233-US-OH,2
15704-ES-AN,60331-FR-ARA,2
10122-SG-,22178-US-MA,2
11687-US-CA,26615-BR-RJ,2
10381-US-NM,6079-US-MA,2
201706-RU-,3462-TW-TAO,2
22973-US-CA,2914-GB-,2
395854-US-NJ,6325-US-IL,2
7018-US-FL,394232-CA-QC,2
17249-MX-COL,20115-US-AL,2
25408-RU-SPE,15557-FR-IDF,2
20011-ZA-GP,37100-ZA-GP,2
19429-CO-DC,208785-GR-I,2
205359-US-MD,3303-CH-VD,2
1267-IT-72,198605-US-NY,2
3320-DE-NW,203327-DK-84,2
7922-US-IL,8462-HU-TO,2
5432-BE-WAL,26298-US-,2
7018-US-CA,203929-RO-BZ,2
2609-TN-12,26651-DE-HE,2
4538-CN-,47608-FR-PDL,2
397157-US-UT,18881-BR-SC,2
40040-US-TX,15557-FR-NAQ,2
4134-CN-,23187-US-,2
17676-JP-14,10676-US-,2
6075-US-,209-US-IA,2
25935-US-,7018-US-FL,2
21840-US-,4766-KR-41,2
197267-ES-,9299-PH-03,2
394684-CR-SJ,703-SG-,2
4309-US-NY,8151-MX-CMX,2
135411-SG-,12389-RU-MUR,2
63283-US-,7018-US-FL,2
196762-CZ-71,7922-US-CO,2
395067-US-MD,9498-IN-TS,2
200552-GB-ENG,22773-US-NV,2
202123-CH-,6327-CA-BC,2
7713-ID-YO,15557-FR-ARA,2
7922-US-TN,51752-NL-,2
8569-DE-NW,14280-US-,2
329153-ZA-WC,55821-PH-00,2
4181-US-TN,7922-US-FL,2
7922-US-TN,24753-NL-,2
3549-CO-DC,61595-BR-MG,2
4766-KR-41,394678-CA-ON,2
9318-KR-11,15450-ES-CM,2
49685-NL-,749-US-,2
7922-US-FL,61215-GB-ENG,2
22860-CL-RM,132203-KR-11,2
7018-US-,53662-US-FL,2
211925-FR-,7018-US-TX,2
4837-CN-,34308-DE-NW,2
3320-DE-BW,207310-GB-ENG,2
4713-JP-,26667-US-,2
202013-US-,7922-US-GA,2
5410-FR-IDF,8551-IL-TA,2
395736-US-,15557-FR-HDF,2
4134-CN-GD,201352-IT-78,2
701-US-NJ,32596-US-,2
7922-US-IN,63252-US-,2
1916-BR-DF,16563-US-IL,2
31705-DE-NW,20115-US-SC,2
1221-AU-QLD,15557-FR-PAC,2
268536-BR-RJ,714-US-,2
7018-US-FL,21837-US-VA,2
6128-US-NY,26664-US-FL,2
17676-JP-13,55410-IN-,2
7922-US-IL,270121-MX-,2
1267-IT-45,24429-DE-HE,2
22442-US-TX,26615-BR-SP,2
6327-CA-AB,398833-US-OK,2
6830-IE-L,11428-US-IL,2
577-CA-QC,47617-CH-BS,2
54363-US-TX,45899-VN-HN,2
200478-NL-,7922-US-IN,2
749-US-,2527-JP-11,2
800-IN-KA,4134-CN-,2
200661-ES-AN,33771-KE-,2
20940-US-NJ,38219-IN-MH,2
131330-MY-13,7922-US-IN,2
11396-US-,209-US-MN,2
21775-CA-,6057-UY-MO,2
5650-US-CA,30120-US-CA,2
9924-TW-,29930-US-CA,2
396868-US-NJ,4837-CN-SD,2
6648-PH-13,209-US-MN,2
10949-US-,7018-US-CA,2
19197-RO-B,3303-CH-ZH,2
14903-US-GA,17378-US-,2
701-US-NY,399997-US-,2
7497-CN-BJ,4010-US-CO,2
139750-TW-,36992-EG-,2
5610-CZ-10,202954-NL-ZH,2
28831-IT-25,7922-US-TN,2
399115-US-LA,20940-DE-HE,2
701-US-NJ,33344-US-,2
399350-US-IN,702-FR-IDF,2
7922-US-IL,44522-CZ-,2
9829-IN-MH,33763-NA-KH,2
8452-EG-ALX,23371-US-,2
7029-US-TX,271934-CO-,2
8075-IN-MH,206662-CH-GR,2
852-CA-AB,201081-FR-,2
51778-CH-,12400-IL-TA,2
10455-FI-,22773-US-LA,2
7018-US-CA,14642-CA-BC,2
7922-US-TX,399998-US-NV,2
54293-US-CA,45102-HK-,2
3462-TW-TAO,262901-BR-PE,2
11396-US-,15169-US-,2
56665-LU-LU,4134-CN-GD,2
62313-DE-,30844-TZ-02,2
28716-IT-45,12389-RU-ALT,2
400381-US-,3320-DE-BY,2
13285-GB-ENG,200275-DE-,2
27437-US-CA,8452-EG-ALX,2
36637-US-,6057-UY-MO,2
17676-JP-27,13491-US-WI,2
3209-DE-BW,48951-DE-RP,2
33267-US-IL,7303-AR-B,2
62949-US-,3209-DE-BY,2
204510-CH-ZH,3786-KR-41,2
1267-IT-62,52127-FR-IDF,2
2518-JP-14,271253-BR-SP,2
7922-US-CO,397699-US-TX,2
42549-LT-,7018-US-,2
8151-MX-MEX,396922-CA-ON,2
328191-ST-04,209-US-ID,2
8968-IT-45,40365-US-CA,2
3209-DE-NW,15768-US-,2
12389-RU-KYA,41321-DE-BW,2
17676-JP-13,27434-US-CA,2
47169-HU-BA,7018-US-FL,2
37693-TN-61,52506-AR-,2
24527-ID-JK,209-US-AZ,2
60068-SG-,12709-MT-56,2
55843-SG-,137409-SG-,2
4766-KR-11,26428-US-MA,2
46921-US-MI,7922-US-PA,2
17306-US-CO,17249-MX-COL,2
4134-CN-,9036-FR-HDF,2
3786-KR-,398726-US-,2
37497-ZA-GP,22773-US-CA,2
19856-US-,714-US-,2
7713-ID-JI,59258-SG-,2
14630-US-,20940-US-GA,2
3356-US-,49220-DE-HE,2
45014-GB-ENG,2200-FR-IDF,2
397570-CA-ON,3356-US-CA,2
40908-US-TX,4134-CN-GD,2
1853-AT-4,945-TW-TPE,2
8968-IT-25,8523-SE-,2
20940-US-GA,9009-US-CA,2
33442-US-,40567-US-CO,2
4837-CN-SD,49476-RU-,2
264037-BR-SC,174-GB-ENG,2
212865-CH-ZH,11666-CA-ON,2
201405-NL-NH,12389-RU-KYA,2
398344-US-TN,701-US-VA,2
26028-US-IL,7018-US-TX,2
3320-DE-NW,54068-US-SC,2
7922-US-IN,33425-US-,2
852-CA-QC,328220-ZA-GP,2
3356-US-CA,54916-CA-ON,2
7018-US-FL,40196-US-,2
7018-US-FL,63023-RU-,2
131928-JP-,174-GB-ENG,2
54407-US-,9299-PH-03,2
9304-HK-HCW,25738-US-IL,2
19313-US-NJ,8151-MX-NLE,2
7922-US-FL,131845-KR-29,2
32091-US-MN,7018-US-FL,2
17676-JP-27,22743-US-TX,2
61170-RU-,7018-US-,2
22013-US-,174-US-CA,2
1239-US-VA,54828-US-UT,2
8452-EG-C,6199-US-NY,2
7018-US-CA,26735-US-TN,2
12709-MT-56,4837-CN-,2
4780-TW-TAO,4800-ID-,2
5089-GB-ENG,53070-BR-,2
9824-JP-12,212547-FR-,2
20899-DE-,2516-JP-,2
12322-FR-IDF,42965-DE-BW,2
49683-US-NY,7552-VN-SG,2
49606-GB-,7713-ID-YO,2
1267-IT-62,54478-US-,2
701-US-VA,57112-NL-NB,2
15544-GR-,20940-US-VA,2
395403-BR-SP,17676-JP-13,2
30384-US-,7922-US-MD,2
395320-US-TX,4766-KR-41,2
14962-US-OH,395032-US-IL,2
7545-AU-QLD,46275-CA-QC,2
749-US-,21766-US-TN,2
20115-US-MI,3462-TW-TPE,2
17676-JP-27,20860-GB-,2
15557-FR-ARA,30009-US-CO,2
25845-US-WA,8452-EG-C,2
20940-US-TX,39634-FR-,2
7922-US-IL,24023-HK-,2
6079-US-PA,25478-RU-,2
393227-US-IN,9318-KR-41,2
198083-RU-,7922-US-MI,2
34843-RU-,8075-IN-MH,2
16711-US-TX,8151-MX-CMX,2
3320-DE-HE,28889-AT-4,2
7552-VN-SG,8553-GB-,2
4837-CN-,3215-FR-IDF,2
34465-NL-ZH,3352-ES-CT,2
30827-GB-,4134-CN-GD,2
196997-DK-84,2860-PT-13,2
2532-US-VA,7018-US-FL,2
43323-GB-ENG,209-US-FL,2
21622-US-CO,12389-RU-,2
203724-IT-,17676-JP-13,2
7922-US-MA,263009-BR-RJ,2
7713-ID-JI,203017-DE-TH,2
26675-US-TX,209-US-CO,2
7922-US-PA,8839-FR-,2
559-CH-ZH,394105-GB-,2
20940-KR-11,28213-BR-MT,2
3462-TW-NWT,49849-BG-02,2
4134-CN-GD,14639-US-OH,2
12389-RU-ROS,48350-CH-TI,2
7922-US-FL,2830-GB-,2
7922-US-CA,22892-US-WA,2
8968-IT-25,5650-US-CA,2
393400-US-,174-US-CA,2
53813-SG-,4134-CN-,2
6327-CA-AB,196722-CH-TI,2
19527-CA-QC,5091-SG-,2
9318-KR-41,395067-US-IL,2
15992-TR-,7922-US-TX,2
7922-US-TN,30508-US-,2
197492-FR-PAC,6327-CA-AB,2
22178-US-,4766-KR-41,2
7018-US-TX,393898-US-,2
7063-BR-RJ,7018-US-,2
4134-CN-,139148-CN-,2
198913-DE-NI,15557-FR-NAQ,2
31898-US-AZ,209823-BE-,2
4826-AU-QLD,38624-US-,2
3320-DE-BY,200845-ES-VC,2
1835-DK-,8075-US-AZ,2
22773-US-OK,29646-GB-,2
11523-US-FL,9318-KR-11,2
55096-US-NY,7922-US-CO,2
61929-BR-GO,26615-BR-RJ,2
7922-US-MA,29695-NO-46,2
49124-RU-,7922-US-MD,2
54040-US-,8151-MX-JAL,2
53381-US-VA,7922-US-CA,2
18588-CA-,6830-PL-14,2
8452-EG-C,5033-US-CA,2
12185-US-,8151-MX-JAL,2
396152-US-WI,20115-US-AL,2
7922-US-TX,14617-US-TX,2
393348-US-GA,4134-CN-,2
749-US-,396421-US-VA,2
7922-US-TN,12189-SE-,2
29963-US-TX,4788-MY-14,2
8308-PL-22,8151-MX-CMX,2
398886-US-VA,15557-FR-OCC,2
23481-US-TX,4230-BR-,2
7922-US-CA,2018-ZA-GP,2
31898-US-AZ,48921-NL-,2
265232-BR-PA,26615-BR-GO,2
5400-GB-,53052-BR-RJ,2
7018-US-,31965-GB-ENG,2
4766-KR-11,13638-US-OH,2
16401-US-,21575-PE-LMA,2
1257-SE-AB,16516-US-CA,2
31059-RU-,7018-US-CA,2
3462-TW-TPE,43766-SA-02,2
1257-SE-O,26013-US-OR,2
19900-CA-ON,4766-KR-41,2
7738-BR-MG,9595-JP-13,2
7018-US-,396106-US-FL,2
30532-US-TN,20115-US-NC,2
7922-US-MA,32058-US-MD,2
2516-JP-,21896-US-WI,2
55228-US-NY,7922-US-CO,2
266773-AR-,17676-JP-13,2
7713-ID-YO,28146-BR-SC,2
20940-AU-VIC,4847-CN-,2
15086-US-,8001-US-,2
20940-US-CA,42449-FR-GES,2
13845-CA-AB,701-US-NY,2
3320-DE-NI,18320-KR-29,2
7922-US-GA,1780-GB-,2
9318-KR-11,24088-VN-56,2
7018-US-TX,19856-US-TX,2
11830-CR-SJ,395528-US-VA,2
3356-US-CA,200023-NL-NB,2
749-US-,8151-MX-VER,2
7922-US-MD,394684-US-FL,2
200776-DE-,4134-CN-,2
4766-KR-11,48910-DE-HE,2
8075-IN-MH,16570-US-MN,2
8075-IN-MH,42307-SE-,2
54253-IE-L,3320-DE-NW,2
26615-BR-GO,30371-BR-MG,2
55256-JP-13,55729-NZ-,2
17676-JP-27,63405-US-,2
7713-ID-JT,3486-US-UT,2
395495-US-DC,8075-IN-MH,2
41849-IT-,4010-US-MD,2
8860-BG-,26615-BR-SP,2
9605-JP-13,49915-US-,2
4134-CN-,59865-NL-NH,2
62550-US-TX,1267-IT-62,2
7018-US-TX,14862-US-TX,2
134189-AU-NSW,7922-US-WA,2
55256-JP-13,23083-US-,2
3320-DE-NW,397533-US-VA,2
24904-FR-IDF,2516-JP-13,2
