source_as,target_as,path_length
3356-US-CA,7922-US-PA,1
1267-IT-25,45899-VN-HN,1
7018-US-FL,4837-CN-SD,1
3320-DE-NI,3303-CH-ZH,1
3320-DE-NW,31898-US-CA,1
6461-CA-ON,701-US-MD,1
2119-SE-O,4837-CN-SD,1
209-US-FL,3356-US-TX,1
4713-JP-,20940-US-NJ,1
2516-JP-13,7922-US-WA,1
20940-JP-27,3269-IT-72,1
3786-KR-11,3257-GB-ENG,1
3269-IT-52,1267-IT-25,1
20940-DE-HE,3269-IT-25,1
1239-US-VA,7922-US-CA,1
2914-US-NY,17676-JP-14,1
7922-US-WA,4766-KR-41,1
7922-US-FL,3356-US-CA,1
18403-VN-HN,3356-US-CA,1
1239-US-,63949-US-TX,1
3257-US-,3462-TW-TNN,1
6503-MX-NLE,174-GB-ENG,1
3462-TW-TAO,4134-CN-,1
2516-JP-,12389-RU-KYA,1
8151-MX-CMX,3257-GB-ENG,1
7018-US-,209-US-FL,1
1239-US-VA,7922-US-FL,1
25394-DE-,3320-DE-BY,1
6830-PL-14,209-US-UT,1
1136-NL-NB,3320-DE-BW,1
3320-DE-BW,25394-DE-NW,1
4837-CN-SD,20940-US-VA,1
8151-MX-VER,3356-US-CA,1
20940-GB-ENG,701-US-NJ,1
1267-IT-75,3303-CH-VD,1
7713-ID-YO,701-US-PA,1
24940-DE-,3320-DE-BW,1
8075-IN-MH,5713-ZA-WC,1
174-US-NY,7922-US-MD,1
3356-US-,8151-MX-MEX,1
3356-US-CA,12301-HU-BE,1
4134-CN-GD,2497-JP-,1
1267-IT-62,20940-US-GA,1
2516-JP-,20940-SG-,1
62989-US-PA,3356-US-TX,1
6327-CA-AB,3257-US-CA,1
7018-US-TX,3320-DE-NW,1
3356-US-TX,135354-KR-,1
7922-US-MI,701-US-MD,1
3320-DE-BW,31898-KR-42,1
3356-US-,14340-US-CA,1
174-US-CA,3320-DE-NW,1
4766-KR-,812-CA-ON,1
4637-JP-,4134-CN-,1
9306-CN-,4837-CN-,1
174-US-CA,7552-VN-HN,1
174-US-NY,7922-US-TN,1
4134-CN-,1273-GB-ENG,1
20940-HK-,3269-IT-45,1
4766-KR-11,20940-DE-HE,1
2516-JP-13,2119-NO-38,1
7922-US-TX,577-CA-ON,1
8452-EG-ALX,174-GB-ENG,1
1267-IT-75,702-DE-HE,1
174-US-NY,4837-CN-SD,1
4134-CN-,6805-DE-BY,1
3356-US-,6128-US-NY,1
10967-US-,1239-US-VA,1
209-US-MN,22284-US-,1
20940-US-VA,4134-CN-,1
4837-CN-SD,2516-JP-,1
4134-CN-,3320-DE-BW,1
2828-US-,7922-US-TN,1
3320-DE-HE,714-US-,1
3356-US-TX,2939-US-SC,1
174-US-CA,9829-IN-KA,1
1267-IT-45,12322-FR-IDF,1
20940-US-TX,4837-CN-SD,1
4837-CN-,3320-DE-BW,1
7922-US-TX,3320-DE-NW,1
7922-US-TX,852-CA-BC,1
9009-RO-,174-US-CA,1
209-US-IA,6830-CH-ZH,1
209-US-UT,2914-JP-,1
3356-US-,26615-BR-BA,1
4837-CN-SD,3257-US-,1
3356-US-TX,174-GB-ENG,1
4766-KR-,174-GB-ENG,1
1257-SE-M,3356-US-,1
15169-US-MO,3356-US-CA,1
7018-US-FL,701-US-NY,1
3320-DE-BW,2914-JP-,1
6327-CA-AB,5650-US-TX,1
4134-CN-,4837-CN-,1
3462-TW-TNN,4134-CN-GD,1
3356-US-TX,7018-US-TX,1
3303-CH-BE,9318-KR-41,1
852-CA-QC,20940-AU-VIC,1
4766-KR-41,7922-US-CO,1
7922-US-PA,4766-KR-41,1
7922-US-TN,2828-US-,1
37492-TN-11,3356-US-TX,1
2914-US-,4538-CN-,1
701-US-MD,714-US-,1
701-US-NJ,3320-DE-BW,1
174-US-CA,2914-US-,1
2119-NO-46,8551-IL-TA,1
714-US-,4766-KR-,1
7922-US-TX,4766-KR-11,1
2516-JP-,6327-CA-BC,1
2119-NO-42,1267-IT-72,1
3209-DE-BY,12312-DE-BY,1
4766-KR-,3257-US-NY,1
3303-CH-BE,714-US-,1
7922-US-IL,701-US-MD,1
3356-US-TX,21928-US-,1
4766-KR-,9694-KR-48,1
174-US-CA,6128-US-NY,1
4837-CN-SD,8220-DE-HH,1
20940-US-GA,3320-DE-NI,1
7018-US-TX,2497-JP-13,1
174-US-NY,63949-SG-,1
4766-KR-11,2914-JP-,1
20940-KR-11,4766-KR-11,1
14340-FR-IDF,4134-CN-,1
3320-DE-NW,7922-US-IL,1
701-US-NJ,20940-SG-,1
14061-SG-,4134-CN-GD,1
7922-US-GA,174-US-NY,1
4134-CN-,1267-IT-62,1
701-US-NY,6830-CH-ZH,1
4788-MY-10,3786-KR-11,1
9318-KR-41,559-CH-ZH,1
3356-US-CA,10036-KR-41,1
701-US-VA,174-GB-ENG,1
4766-KR-11,7922-US-MD,1
6167-US-CA,701-US-NJ,1
8151-MX-VER,2914-GB-,1
4766-KR-,9929-CN-SH,1
4766-KR-41,7922-US-TX,1
20940-FR-IDF,701-US-NY,1
668-US-,701-US-NJ,1
3741-ZA-WC,20940-US-CA,1
701-US-MD,4230-BR-,1
20940-US-,3462-TW-TAO,1
3320-DE-NW,13285-GB-ENG,1
4134-CN-GD,4780-TW-TNN,1
7922-US-MD,701-US-MD,1
559-CH-ZH,174-GB-ENG,1
3257-US-NY,3462-TW-NWT,1
3320-DE-NI,9121-TR-34,1
3356-US-,680-DE-NW,1
3462-TW-TPE,4134-CN-GD,1
4230-BR-MG,6327-CA-BC,1
701-US-VA,14754-SV-,1
4134-CN-,2497-JP-11,1
2914-US-NY,3320-DE-NW,1
7018-US-FL,3257-US-CA,1
3356-US-CA,2119-SE-AB,1
3356-US-CA,29695-NO-38,1
7922-US-IN,4134-CN-GD,1
209-US-CO,1239-US-VA,1
3356-US-CA,2119-NO-30,1
20940-HK-,4804-AU-QLD,1
174-GB-ENG,2018-ZA-GP,1
7922-US-MD,852-CA-QC,1
8075-IN-MH,1239-US-,1
3269-IT-62,20940-JP-13,1
20940-FR-IDF,3320-DE-HE,1
209-US-AZ,7018-US-FL,1
2497-JP-,2518-JP-13,1
54113-US-,2516-JP-13,1
174-US-CA,7922-US-TN,1
3320-DE-BW,2119-NO-03,1
209-US-UT,174-US-CA,1
3303-CH-ZH,2828-US-,1
4837-CN-,174-GB-ENG,1
20940-FR-IDF,1267-IT-45,1
2119-NO-38,15557-FR-HDF,1
20940-ID-JK,2516-JP-13,1
209-US-FL,1239-US-,1
3320-DE-HE,7922-US-IL,1
31399-DE-,3320-DE-HE,1
3356-US-CA,7922-US-IL,1
4134-CN-GD,20940-AU-VIC,1
3320-DE-BY,7922-US-WA,1
4637-HK-,20940-US-IL,1
701-US-VA,3320-DE-BW,1
174-US-CA,7922-US-MI,1
4766-KR-11,7922-US-GA,1
1273-GB-,20940-GB-ENG,1
3303-CH-VD,6327-CA-BC,1
4230-BR-SP,20940-US-NJ,1
4766-KR-11,20940-AU-VIC,1
7922-US-TX,3356-US-CA,1
714-US-,1103-NL-NB,1
3257-US-,20115-US-MO,1
3320-DE-BW,701-US-MD,1
701-US-MD,7922-US-IL,1
701-US-MD,2497-JP-13,1
209-US-OR,3320-DE-NW,1
20940-US-VA,701-US-NJ,1
3356-US-CA,20473-DE-HE,1
8447-AT-9,3356-US-TX,1
2611-BE-BRU,174-US-NY,1
21859-US-CA,174-US-CA,1
4766-KR-41,4837-CN-,1
7922-US-MI,3356-US-,1
701-US-NJ,7713-ID-JT,1
2119-SE-AB,3462-TW-KHH,1
7922-US-FL,3320-DE-BY,1
2119-NO-50,20940-US-IL,1
3462-TW-TAO,4766-KR-,1
174-GB-ENG,7922-US-PA,1
3320-DE-HE,7922-US-MI,1
2119-SE-AB,16509-US-,1
2119-NO-42,12389-RU-KEM,1
3320-DE-NW,7018-US-FL,1
7018-US-TX,1239-US-VA,1
3303-CH-ZH,9318-KR-11,1
15557-FR-ARA,1267-IT-25,1
174-GB-ENG,9829-IN-MH,1
1267-IT-75,3269-IT-45,1
9924-TW-TNN,4134-CN-GD,1
15802-AE-DU,3356-US-TX,1
1257-SE-AB,174-US-CA,1
701-US-NY,7922-US-IL,1
3356-US-CA,36351-US-,1
4134-CN-,174-GB-ENG,1
7922-US-GA,1239-US-VA,1
9121-TR-34,3320-DE-NW,1
15557-FR-NAQ,3320-DE-BW,1
2516-JP-,136907-HK-,1
4134-CN-GD,7922-US-WA,1
3320-DE-BY,2686-GB-ENG,1
3356-US-CA,9924-TW-TNN,1
6167-US-IL,209-US-IA,1
9824-JP-14,174-US-NY,1
20940-US-TX,852-CA-BC,1
2119-NO-50,4837-CN-SD,1
2516-JP-13,6327-CA-AB,1
209-US-OR,6167-US-CA,1
16232-IT-25,3269-IT-34,1
3786-KR-,4134-CN-,1
3356-US-CA,5713-ZA-WC,1
174-GB-ENG,18779-US-,1
3257-US-,209-US-ID,1
3462-TW-TPE,4766-KR-41,1
4134-CN-,9924-TW-NWT,1
2914-US-NY,4538-CN-,1
3356-US-CA,20115-US-NC,1
701-US-NJ,7018-US-CA,1
3320-DE-NI,7922-US-IL,1
20940-US-CA,4766-KR-,1
4230-BR-,701-US-PA,1
174-US-NY,63949-US-NJ,1
7922-US-IL,5400-DE-HE,1
3356-US-,10429-BR-SP,1
3257-US-NY,20115-US-GA,1
1103-NL-UT,3462-TW-TAO,1
2516-JP-13,2119-NO-42,1
3320-DE-BW,4837-CN-,1
1257-SE-O,3356-US-CA,1
2497-JP-,1239-US-VA,1
2119-SE-O,3320-DE-HE,1
22284-US-,209-US-ID,1
141167-HK-,4766-KR-11,1
12322-FR-IDF,1267-IT-34,1
8151-MX-NLE,1239-US-,1
12252-PE-LMA,701-US-NJ,1
701-US-VA,7018-US-CA,1
701-US-VA,7922-US-IL,1
1267-IT-45,45899-VN-SG,1
4134-CN-,2119-SE-M,1
4837-CN-,17676-JP-14,1
2686-IL-M,3320-DE-BW,1
4837-CN-SD,17676-JP-13,1
702-DE-HE,1103-NL-NB,1
174-US-NY,12389-RU-SPE,1
2119-NO-42,4837-CN-,1
209-US-UT,7018-US-,1
4766-KR-,20940-HK-,1
714-US-,8426-GB-ENG,1
3356-US-TX,12430-ES-CT,1
3356-US-CA,984-US-LA,1
3786-KR-11,174-US-CA,1
4134-CN-GD,15830-NL-,1
701-US-NJ,5650-US-CA,1
4837-CN-,3303-CH-AG,1
2914-US-NY,701-US-VA,1
